Date,MWh,€/MWh
2018-01-01 00:00:00,23012.5,6.74
2018-01-01 01:00:00,24971.6,4.74
2018-01-01 02:00:00,25130.8,3.66
2018-01-01 03:00:00,22324.4,1.26
2018-01-01 04:00:00,22617.6,-20.1
2018-01-01 05:00:00,22155.7,-31.82
2018-01-01 06:00:00,21611.7,-28.66
2018-01-01 07:00:00,20921.3,-13.71
2018-01-01 08:00:00,21143.5,-4.14
2018-01-01 09:00:00,21531.1,2.03
2018-01-01 10:00:00,21949.3,-15.51
2018-01-01 11:00:00,23071.6,-0.42
2018-01-01 12:00:00,25127.5,2.3
2018-01-01 13:00:00,25235.5,2.3
2018-01-01 14:00:00,21977.1,5.0
2018-01-01 15:00:00,21328.5,8.56
2018-01-01 16:00:00,21106.3,9.42
2018-01-01 17:00:00,19676.2,12.46
2018-01-01 18:00:00,18758.0,15.93
2018-01-01 19:00:00,18693.9,22.02
2018-01-01 20:00:00,19532.7,20.0
2018-01-01 21:00:00,19524.4,21.95
2018-01-01 22:00:00,18958.3,23.52
2018-01-01 23:00:00,18764.9,16.35
2018-01-02 00:00:00,18447.5,14.43
2018-01-02 01:00:00,18575.9,10.26
2018-01-02 02:00:00,18288.0,7.48
2018-01-02 03:00:00,18117.1,4.52
2018-01-02 04:00:00,17593.6,4.24
2018-01-02 05:00:00,16118.4,8.36
2018-01-02 06:00:00,14578.7,22.58
2018-01-02 07:00:00,13716.3,41.92
2018-01-02 08:00:00,14898.0,47.95
2018-01-02 09:00:00,15123.2,49.9
2018-01-02 10:00:00,14927.8,50.0
2018-01-02 11:00:00,14924.1,49.7
2018-01-02 12:00:00,15321.2,48.16
2018-01-02 13:00:00,15707.4,47.24
2018-01-02 14:00:00,17256.9,46.1
2018-01-02 15:00:00,19032.9,43.86
2018-01-02 16:00:00,20324.9,43.64
2018-01-02 17:00:00,19295.9,47.37
2018-01-02 18:00:00,17973.9,46.08
2018-01-02 19:00:00,18393.8,41.08
2018-01-02 20:00:00,17178.8,34.94
2018-01-02 21:00:00,17859.9,25.46
2018-01-02 22:00:00,17379.0,23.25
2018-01-02 23:00:00,17902.9,15.49
2018-01-03 00:00:00,18913.1,12.14
2018-01-03 01:00:00,19485.3,5.48
2018-01-03 02:00:00,19690.1,5.0
2018-01-03 03:00:00,20041.2,0.99
2018-01-03 04:00:00,19728.1,-0.25
2018-01-03 05:00:00,19460.8,3.87
2018-01-03 06:00:00,18333.3,12.25
2018-01-03 07:00:00,17819.6,19.42
2018-01-03 08:00:00,19061.0,22.57
2018-01-03 09:00:00,19351.6,22.37
2018-01-03 10:00:00,19941.2,18.65
2018-01-03 11:00:00,20252.0,19.35
2018-01-03 12:00:00,20662.9,18.93
2018-01-03 13:00:00,20979.1,17.26
2018-01-03 14:00:00,20689.0,16.76
2018-01-03 15:00:00,20286.5,18.09
2018-01-03 16:00:00,19661.2,19.51
2018-01-03 17:00:00,18646.8,24.13
2018-01-03 18:00:00,18003.0,36.67
2018-01-03 19:00:00,18143.0,26.27
2018-01-03 20:00:00,17488.1,26.06
2018-01-03 21:00:00,17501.2,19.88
2018-01-03 22:00:00,16981.4,17.26
2018-01-03 23:00:00,17104.1,13.87
2018-01-04 00:00:00,13780.4,11.76
2018-01-04 01:00:00,14084.6,3.46
2018-01-04 02:00:00,14041.7,2.11
2018-01-04 03:00:00,14157.2,2.63
2018-01-04 04:00:00,14007.0,4.99
2018-01-04 05:00:00,13349.2,11.08
2018-01-04 06:00:00,14381.7,22.34
2018-01-04 07:00:00,15716.8,33.59
2018-01-04 08:00:00,16145.6,40.45
2018-01-04 09:00:00,17296.3,41.97
2018-01-04 10:00:00,17862.8,44.91
2018-01-04 11:00:00,18582.9,47.14
2018-01-04 12:00:00,18554.9,46.04
2018-01-04 13:00:00,19657.7,34.36
2018-01-04 14:00:00,19805.8,32.51
2018-01-04 15:00:00,20173.4,32.77
2018-01-04 16:00:00,19596.8,33.81
2018-01-04 17:00:00,17509.2,50.08
2018-01-04 18:00:00,16338.1,49.96
2018-01-04 19:00:00,15598.1,46.73
2018-01-04 20:00:00,14911.5,41.57
2018-01-04 21:00:00,13604.3,37.09
2018-01-04 22:00:00,12268.6,33.92
2018-01-04 23:00:00,11463.8,31.5
2018-01-05 00:00:00,13284.7,16.67
2018-01-05 01:00:00,13732.9,11.73
2018-01-05 02:00:00,14115.0,6.86
2018-01-05 03:00:00,14747.5,0.55
2018-01-05 04:00:00,14702.7,2.45
2018-01-05 05:00:00,14063.9,13.51
2018-01-05 06:00:00,13828.1,23.96
2018-01-05 07:00:00,15367.6,33.39
2018-01-05 08:00:00,14180.5,37.79
2018-01-05 09:00:00,15444.6,36.93
2018-01-05 10:00:00,15047.1,39.11
2018-01-05 11:00:00,15724.9,39.4
2018-01-05 12:00:00,13938.8,41.69
2018-01-05 13:00:00,13076.6,47.0
2018-01-05 14:00:00,12810.0,44.08
2018-01-05 15:00:00,13656.2,47.1
2018-01-05 16:00:00,13933.1,47.77
2018-01-05 17:00:00,14240.7,56.35
2018-01-05 18:00:00,13067.0,57.42
2018-01-05 19:00:00,11021.0,53.99
2018-01-05 20:00:00,11375.5,42.36
2018-01-05 21:00:00,12123.0,39.9
2018-01-05 22:00:00,11864.2,39.97
2018-01-05 23:00:00,11180.1,36.27
2018-01-06 00:00:00,13788.6,29.45
2018-01-06 01:00:00,14848.1,28.55
2018-01-06 02:00:00,15018.7,28.18
2018-01-06 03:00:00,15730.6,25.27
2018-01-06 04:00:00,16023.5,24.34
2018-01-06 05:00:00,16512.4,27.42
2018-01-06 06:00:00,15832.4,30.0
2018-01-06 07:00:00,15500.3,31.36
2018-01-06 08:00:00,16242.9,34.19
2018-01-06 09:00:00,14966.6,41.11
2018-01-06 10:00:00,14117.7,44.0
2018-01-06 11:00:00,14711.3,43.74
2018-01-06 12:00:00,14199.8,44.43
2018-01-06 13:00:00,14198.8,42.9
2018-01-06 14:00:00,15672.4,38.7
2018-01-06 15:00:00,16338.2,37.4
2018-01-06 16:00:00,16477.4,37.99
2018-01-06 17:00:00,15915.6,44.22
2018-01-06 18:00:00,14916.0,49.98
2018-01-06 19:00:00,14588.5,45.9
2018-01-06 20:00:00,15422.3,40.9
2018-01-06 21:00:00,16000.2,33.69
2018-01-06 22:00:00,15105.9,36.26
2018-01-06 23:00:00,14484.6,29.03
2018-01-07 00:00:00,11991.5,21.87
2018-01-07 01:00:00,11914.3,15.98
2018-01-07 02:00:00,13394.9,15.99
2018-01-07 03:00:00,15267.5,14.0
2018-01-07 04:00:00,17154.5,12.51
2018-01-07 05:00:00,17303.2,13.21
2018-01-07 06:00:00,17171.1,12.17
2018-01-07 07:00:00,17567.0,13.02
2018-01-07 08:00:00,17406.9,18.41
2018-01-07 09:00:00,17439.2,19.58
2018-01-07 10:00:00,17387.0,22.14
2018-01-07 11:00:00,17137.5,28.44
2018-01-07 12:00:00,16169.8,29.26
2018-01-07 13:00:00,16193.6,27.08
2018-01-07 14:00:00,16215.7,20.32
2018-01-07 15:00:00,17019.1,19.86
